ID;date;subj.id;age;sex;condition;order;study_order;session;trial;correct;rewarded
315;23.06.21;Nakuu;20;f;control;testfirst;study4first;1;3;yes;yes
316;23.06.21;Nakuu;20;f;control;testfirst;study4first;1;4;no;yes
317;23.06.21;Nakuu;20;f;control;testfirst;study4first;1;5;no;no
318;23.06.21;Nakuu;20;f;control;testfirst;study4first;1;6;yes;yes
319;23.06.21;Sally;30;f;control;testfirst;study4first;2;7;yes;yes
320;23.06.21;Sally;30;f;control;testfirst;study4first;2;8;no;yes
321;23.06.21;Sally;30;f;control;testfirst;study4first;2;9;no;no
322;23.06.21;Sally;30;f;control;testfirst;study4first;2;10;no;yes
323;23.06.21;Sally;30;f;control;testfirst;study4first;2;11;no;no
324;23.06.21;Sally;30;f;control;testfirst;study4first;2;12;no;no
325;23.06.21;Nkuumwa;25;f;control;testfirst;study4first;2;7;no;yes
326;23.06.21;Nkuumwa;25;f;control;testfirst;study4first;2;8;yes;yes
327;23.06.21;Nkuumwa;25;f;control;testfirst;study4first;2;9;no;no
328;23.06.21;Nkuumwa;25;f;control;testfirst;study4first;2;10;yes;yes
329;23.06.21;Nkuumwa;25;f;control;testfirst;study4first;2;11;no;no
330;23.06.21;Nkuumwa;25;f;control;testfirst;study4first;2;12;no;yes
331;24.06.21;Nakuu;20;f;control;testfirst;study4first;2;7;no;no
332;24.06.21;Nakuu;20;f;control;testfirst;study4first;2;8;no;no
333;24.06.21;Nakuu;20;f;control;testfirst;study4first;2;9;no;yes
334;24.06.21;Nakuu;20;f;control;testfirst;study4first;2;10;no;yes
335;24.06.21;Nakuu;20;f;control;testfirst;study4first;2;11;no;no
336;24.06.21;Nakuu;20;f;control;testfirst;study4first;2;12;yes;yes
