ID;date;subj.id;age;sex;condition;test_order;order;session;trial;other_pair;rewarded;experiment
55;07.06.21;Okech;22;m;control;testfirst;study4first;2;7;yes;yes;study4
55;07.06.21;Yoyo;23;f;control;testfirst;study3first;2;7;yes;yes;study3
56;07.06.21;Okech;22;m;control;testfirst;study4first;2;8;yes;no;study4
56;07.06.21;Yoyo;23;f;control;testfirst;study3first;2;8;yes;no;study3
57;07.06.21;Okech;22;m;control;testfirst;study4first;2;9;no;no;study4
57;07.06.21;Yoyo;23;f;control;testfirst;study3first;2;9;no;yes;study3
58;07.06.21;Okech;22;m;control;testfirst;study4first;2;10;yes;yes;study4
58;07.06.21;Yoyo;23;f;control;testfirst;study3first;2;10;yes;no;study3
59;07.06.21;Okech;22;m;control;testfirst;study4first;2;11;yes;yes;study4
59;07.06.21;Yoyo;23;f;control;testfirst;study3first;2;11;yes;yes;study3
60;07.06.21;Okech;22;m;control;testfirst;study4first;1;12;yes;yes;study4
60;07.06.21;Yoyo;23;f;control;testfirst;study3first;2;12;yes;no;study3
61;06.06.21;Namukisa;22;f;control;testfirst;study4first;1;1;no;no;study4
61;06.06.21;Nani;20;f;control;testfirst;study3first;1;1;yes;no;study3
62;06.06.21;Namukisa;22;f;control;testfirst;study4first;1;2;yes;no;study4
62;06.06.21;Nani;20;f;control;testfirst;study3first;1;2;no;yes;study3
63;06.06.21;Namukisa;22;f;control;testfirst;study4first;1;3;yes;no;study4
63;06.06.21;Nani;20;f;control;testfirst;study3first;1;3;yes;no;study3
64;06.06.21;Namukisa;22;f;control;testfirst;study4first;1;4;no;no;study4
64;06.06.21;Nani;20;f;control;testfirst;study3first;1;4;yes;yes;study3
65;06.06.21;Namukisa;22;f;control;testfirst;study4first;1;5;yes;no;study4
65;06.06.21;Nani;20;f;control;testfirst;study3first;1;5;no;yes;study3
66;06.06.21;Namukisa;22;f;control;testfirst;study4first;1;6;no;no;study4
66;06.06.21;Nani;20;f;control;testfirst;study3first;1;6;no;yes;study3
67;07.06.21;Namukisa;22;f;control;testfirst;study4first;2;7;yes;yes;study4
67;07.06.21;Nani;20;f;control;testfirst;study3first;2;7;yes;no;study3
68;07.06.21;Namukisa;22;f;control;testfirst;study4first;2;8;yes;yes;study4
68;07.06.21;Nani;20;f;control;testfirst;study3first;2;8;yes;yes;study3
69;07.06.21;Namukisa;22;f;control;testfirst;study4first;2;9;no;no;study4
69;07.06.21;Nani;20;f;control;testfirst;study3first;2;9;no;yes;study3
70;07.06.21;Namukisa;22;f;control;testfirst;study4first;2;10;yes;yes;study4
70;07.06.21;Nani;20;f;control;testfirst;study3first;2;10;yes;no;study3
71;07.06.21;Namukisa;22;f;control;testfirst;study4first;2;11;yes;no;study4
71;07.06.21;Nani;20;f;control;testfirst;study3first;2;11;yes;no;study3
72;07.06.21;Namukisa;22;f;control;testfirst;study4first;2;12;no;no;study4
72;07.06.21;Nani;20;f;control;testfirst;study3first;2;12;yes;yes;study3
73;06.06.21;Kalema;25;m;control;testfirst;study3first;1;1;yes;yes;study3
73;08.06.21;Nani;20;f;control;controlfirst;study3first;1;1;yes;yes;study4
74;06.06.21;Kalema;25;m;control;testfirst;study3first;1;2;yes;yes;study3
74;08.06.21;Nani;20;f;control;controlfirst;study3first;1;2;yes;yes;study4
75;06.06.21;Kalema;25;m;control;testfirst;study3first;1;3;yes;yes;study3
75;08.06.21;Nani;20;f;control;controlfirst;study3first;1;3;no;no;study4
76;06.06.21;Kalema;25;m;control;testfirst;study3first;1;4;no;yes;study3
76;08.06.21;Nani;20;f;control;controlfirst;study3first;1;4;no;no;study4
77;06.06.21;Kalema;25;m;control;testfirst;study3first;1;5;yes;no;study3
77;08.06.21;Nani;20;f;control;controlfirst;study3first;1;5;no;no;study4
78;06.06.21;Kalema;25;m;control;testfirst;study3first;1;6;yes;no;study3
78;08.06.21;Nani;20;f;control;controlfirst;study3first;1;6;yes;yes;study4
79;07.06.21;Kalema;25;m;control;testfirst;study3first;2;7;yes;yes;study3
79;09.06.21;Nani;20;f;control;controlfirst;study3first;2;7;no;no;study4
80;07.06.21;Kalema;25;m;control;testfirst;study3first;2;8;yes;no;study3
80;09.06.21;Nani;20;f;control;controlfirst;study3first;2;8;yes;no;study4
81;07.06.21;Kalema;25;m;control;testfirst;study3first;2;9;yes;yes;study3
81;09.06.21;Nani;20;f;control;controlfirst;study3first;2;9;no;no;study4
82;07.06.21;Kalema;25;m;control;testfirst;study3first;2;10;yes;yes;study3
82;09.06.21;Nani;20;f;control;controlfirst;study3first;2;10;no;no;study4
83;07.06.21;Kalema;25;m;control;testfirst;study3first;2;11;no;yes;study3
83;09.06.21;Nani;20;f;control;controlfirst;study3first;2;11;yes;yes;study4
84;07.06.21;Kalema;25;m;control;testfirst;study3first;2;12;yes;no;study3
84;09.06.21;Nani;20;f;control;controlfirst;study3first;2;12;no;no;study4
85;10.06.21;Nani;20;f;test;controlfirst;study3first;1;1;yes;yes;study4
85;06.06.21;Pasa;21;f;control;testfirst;study3first;1;1;yes;no;study3
86;10.06.21;Nani;20;f;test;controlfirst;study3first;1;2;yes;yes;study4
86;06.06.21;Pasa;21;f;control;testfirst;study3first;1;2;yes;no;study3
87;10.06.21;Nani;20;f;test;controlfirst;study3first;1;3;no;no;study4
87;06.06.21;Pasa;21;f;control;testfirst;study3first;1;3;yes;no;study3
88;10.06.21;Nani;20;f;test;controlfirst;study3first;1;4;yes;yes;study4
88;06.06.21;Pasa;21;f;control;testfirst;study3first;1;4;yes;no;study3
89;10.06.21;Nani;20;f;test;controlfirst;study3first;1;5;yes;yes;study4
89;06.06.21;Pasa;21;f;control;testfirst;study3first;1;5;yes;no;study3
90;10.06.21;Nani;20;f;test;controlfirst;study3first;1;6;no;no;study4
90;06.06.21;Pasa;21;f;control;testfirst;study3first;1;6;no;yes;study3
91;11.06.21;Nani;20;f;test;controlfirst;study3first;2;7;yes;yes;study4
91;07.06.21;Pasa;21;f;control;testfirst;study3first;2;7;yes;no;study3
92;11.06.21;Nani;20;f;test;controlfirst;study3first;2;8;no;no;study4
92;07.06.21;Pasa;21;f;control;testfirst;study3first;2;8;yes;no;study3
93;11.06.21;Nani;20;f;test;controlfirst;study3first;2;9;yes;no;study4
93;07.06.21;Pasa;21;f;control;testfirst;study3first;2;9;no;yes;study3
94;11.06.21;Nani;20;f;test;controlfirst;study3first;2;10;yes;no;study4
94;07.06.21;Pasa;21;f;control;testfirst;study3first;2;10;yes;no;study3
95;11.06.21;Nani;20;f;test;controlfirst;study3first;2;11;yes;yes;study4
95;07.06.21;Pasa;21;f;control;testfirst;study3first;2;11;yes;no;study3
96;11.06.21;Nani;20;f;test;controlfirst;study3first;2;12;no;no;study4
96;07.06.21;Pasa;21;f;control;testfirst;study3first;2;12;yes;yes;study3
97;08.06.21;Asega;23;m;control;controlfirst;study4first;1;1;yes;no;study3
97;08.06.21;Kalema;25;m;control;controlfirst;study3first;1;1;yes;no;study4
98;08.06.21;Asega;23;m;control;controlfirst;study4first;1;2;no;yes;study3
98;08.06.21;Kalema;25;m;control;controlfirst;study3first;1;2;yes;no;study4
99;08.06.21;Asega;23;m;control;controlfirst;study4first;1;3;yes;no;study3
99;08.06.21;Kalema;25;m;control;controlfirst;study3first;1;3;no;no;study4
100;08.06.21;Asega;23;m;control;controlfirst;study4first;1;4;yes;no;study3
100;08.06.21;Kalema;25;m;control;controlfirst;study3first;1;4;yes;yes;study4
101;08.06.21;Asega;23;m;control;controlfirst;study4first;1;5;no;yes;study3
101;08.06.21;Kalema;25;m;control;controlfirst;study3first;1;5;yes;no;study4
102;08.06.21;Asega;23;m;control;controlfirst;study4first;1;6;yes;no;study3
102;08.06.21;Kalema;25;m;control;controlfirst;study3first;1;6;yes;yes;study4
103;09.06.21;Asega;23;m;control;controlfirst;study4first;2;7;yes;no;study3
103;09.06.21;Kalema;25;m;control;controlfirst;study3first;2;7;yes;no;study4
104;09.06.21;Asega;23;m;control;controlfirst;study4first;2;8;yes;yes;study3
104;09.06.21;Kalema;25;m;control;controlfirst;study3first;2;8;yes;no;study4
105;09.06.21;Asega;23;m;control;controlfirst;study4first;2;9;no;yes;study3
105;09.06.21;Kalema;25;m;control;controlfirst;study3first;2;9;yes;yes;study4
106;09.06.21;Asega;23;m;control;controlfirst;study4first;2;10;yes;yes;study3
106;09.06.21;Kalema;25;m;control;controlfirst;study3first;2;10;yes;no;study4
107;09.06.21;Asega;23;m;control;controlfirst;study4first;2;11;no;yes;study3
107;09.06.21;Kalema;25;m;control;controlfirst;study3first;2;11;yes;no;study4
108;09.06.21;Asega;23;m;control;controlfirst;study4first;2;12;yes;no;study3
108;09.06.21;Kalema;25;m;control;controlfirst;study3first;2;12;no;no;study4
109;10.06.21;Asega;23;m;test;controlfirst;study4first;1;1;yes;yes;study3
109;10.06.21;Kalema;25;m;test;controlfirst;study3first;1;1;no;no;study4
110;10.06.21;Asega;23;m;test;controlfirst;study4first;1;2;no;yes;study3
110;10.06.21;Kalema;25;m;test;controlfirst;study3first;1;2;no;no;study4
111;10.06.21;Asega;23;m;test;controlfirst;study4first;1;3;yes;no;study3
111;10.06.21;Kalema;25;m;test;controlfirst;study3first;1;3;yes;no;study4
112;10.06.21;Asega;23;m;test;controlfirst;study4first;1;4;yes;no;study3
112;10.06.21;Kalema;25;m;test;controlfirst;study3first;1;4;yes;no;study4
113;10.06.21;Asega;23;m;test;controlfirst;study4first;1;5;no;yes;study3
113;10.06.21;Kalema;25;m;test;controlfirst;study3first;1;5;yes;no;study4
114;10.06.21;Asega;23;m;test;controlfirst;study4first;1;6;no;yes;study3
114;10.06.21;Kalema;25;m;test;controlfirst;study3first;1;6;yes;yes;study4
115;11.06.21;Asega;23;m;test;controlfirst;study4first;2;7;yes;no;study3
115;11.06.21;Kalema;25;m;test;controlfirst;study3first;2;7;yes;no;study4
116;11.06.21;Asega;23;m;test;controlfirst;study4first;2;8;yes;no;study3
116;11.06.21;Kalema;25;m;test;controlfirst;study3first;2;8;no;no;study4
117;11.06.21;Asega;23;m;test;controlfirst;study4first;2;9;yes;no;study3
117;11.06.21;Kalema;25;m;test;controlfirst;study3first;2;9;yes;no;study4
118;11.06.21;Asega;23;m;test;controlfirst;study4first;2;10;no;yes;study3
118;11.06.21;Kalema;25;m;test;controlfirst;study3first;2;10;yes;yes;study4
119;11.06.21;Asega;23;m;test;controlfirst;study4first;2;11;no;yes;study3
119;11.06.21;Kalema;25;m;test;controlfirst;study3first;2;11;yes;yes;study4
120;11.06.21;Asega;23;m;test;controlfirst;study4first;2;12;no;yes;study3
120;11.06.21;Kalema;25;m;test;controlfirst;study3first;2;12;yes;yes;study4
121;08.06.21;Okech;22;m;control;controlfirst;study4first;1;1;yes;yes;study3
121;08.06.21;Yoyo;23;f;control;controlfirst;study3first;1;1;yes;no;study4
122;08.06.21;Okech;22;m;control;controlfirst;study4first;1;2;yes;yes;study3
122;08.06.21;Yoyo;23;f;control;controlfirst;study3first;1;2;yes;no;study4
123;08.06.21;Okech;22;m;control;controlfirst;study4first;1;3;no;yes;study3
123;08.06.21;Yoyo;23;f;control;controlfirst;study3first;1;3;yes;yes;study4
124;08.06.21;Okech;22;m;control;controlfirst;study4first;1;4;no;yes;study3
124;08.06.21;Yoyo;23;f;control;controlfirst;study3first;1;4;yes;no;study4
125;08.06.21;Okech;22;m;control;controlfirst;study4first;1;5;no;yes;study3
125;08.06.21;Yoyo;23;f;control;controlfirst;study3first;1;5;yes;yes;study4
126;08.06.21;Okech;22;m;control;controlfirst;study4first;1;6;yes;no;study3
126;08.06.21;Yoyo;23;f;control;controlfirst;study3first;1;6;yes;no;study4
127;09.06.21;Okech;22;m;control;controlfirst;study4first;2;7;yes;no;study3
127;09.06.21;Yoyo;23;f;control;controlfirst;study3first;2;7;yes;yes;study4
128;09.06.21;Okech;22;m;control;controlfirst;study4first;2;8;no;yes;study3
128;09.06.21;Yoyo;23;f;control;controlfirst;study3first;2;8;no;no;study4
129;09.06.21;Okech;22;m;control;controlfirst;study4first;2;9;yes;no;study3
129;09.06.21;Yoyo;23;f;control;controlfirst;study3first;2;9;yes;no;study4
130;09.06.21;Okech;22;m;control;controlfirst;study4first;2;10;no;yes;study3
130;09.06.21;Yoyo;23;f;control;controlfirst;study3first;2;10;no;no;study4
131;09.06.21;Okech;22;m;control;controlfirst;study4first;2;11;yes;yes;study3
131;09.06.21;Yoyo;23;f;control;controlfirst;study3first;2;11;yes;no;study4
132;09.06.21;Okech;22;m;control;controlfirst;study4first;2;12;no;yes;study3
132;09.06.21;Yoyo;23;f;control;controlfirst;study3first;2;12;yes;yes;study4
133;10.06.21;Okech;22;m;test;controlfirst;study4first;1;1;no;yes;study3
133;10.06.21;Yoyo;23;f;test;controlfirst;study3first;1;1;yes;yes;study4
134;10.06.21;Okech;22;m;test;controlfirst;study4first;1;2;yes;yes;study3
134;10.06.21;Yoyo;23;f;test;controlfirst;study3first;1;2;yes;yes;study4
135;10.06.21;Okech;22;m;test;controlfirst;study4first;1;3;yes;no;study3
135;10.06.21;Yoyo;23;f;test;controlfirst;study3first;1;3;yes;no;study4
136;10.06.21;Okech;22;m;test;controlfirst;study4first;1;4;no;yes;study3
136;10.06.21;Yoyo;23;f;test;controlfirst;study3first;1;4;yes;no;study4
137;10.06.21;Okech;22;m;test;controlfirst;study4first;1;5;yes;yes;study3
137;10.06.21;Yoyo;23;f;test;controlfirst;study3first;1;5;yes;no;study4
138;10.06.21;Okech;22;m;test;controlfirst;study4first;1;6;yes;yes;study3
138;10.06.21;Yoyo;23;f;test;controlfirst;study3first;1;6;no;no;study4
139;11.06.21;Okech;22;m;test;controlfirst;study4first;2;7;no;yes;study3
139;11.06.21;Yoyo;23;f;test;controlfirst;study3first;2;7;yes;no;study4
140;11.06.21;Okech;22;m;test;controlfirst;study4first;2;8;no;yes;study3
140;11.06.21;Yoyo;23;f;test;controlfirst;study3first;2;8;no;no;study4
141;11.06.21;Okech;22;m;test;controlfirst;study4first;2;9;no;yes;study3
141;11.06.21;Yoyo;23;f;test;controlfirst;study3first;2;9;yes;no;study4
142;11.06.21;Okech;22;m;test;controlfirst;study4first;2;10;no;yes;study3
142;11.06.21;Yoyo;23;f;test;controlfirst;study3first;2;10;yes;no;study4
143;11.06.21;Okech;22;m;test;controlfirst;study4first;2;11;no;yes;study3
143;11.06.21;Yoyo;23;f;test;controlfirst;study3first;2;11;yes;no;study4
144;11.06.21;Okech;22;m;test;controlfirst;study4first;2;12;no;yes;study3
144;11.06.21;Yoyo;23;f;test;controlfirst;study3first;2;12;yes;no;study4
145;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;1;yes;yes;study3
145;08.06.21;Pasa;21;f;control;controlfirst;study3first;1;1;yes;no;study4
146;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;2;no;yes;study3
146;08.06.21;Pasa;21;f;control;controlfirst;study3first;1;2;yes;yes;study4
147;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;3;yes;no;study3
147;08.06.21;Pasa;21;f;control;controlfirst;study3first;1;3;no;no;study4
148;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;4;no;yes;study3
148;08.06.21;Pasa;21;f;control;controlfirst;study3first;1;4;yes;yes;study4
149;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;5;yes;no;study3
149;08.06.21;Pasa;21;f;control;controlfirst;study3first;1;5;yes;no;study4
150;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;6;yes;no;study3
150;08.06.21;Pasa;21;f;control;controlfirst;study3first;1;6;yes;no;study4
151;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;7;yes;yes;study3
151;09.06.21;Pasa;21;f;control;controlfirst;study3first;2;7;yes;no;study4
152;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;8;yes;yes;study3
152;09.06.21;Pasa;21;f;control;controlfirst;study3first;2;8;yes;no;study4
153;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;9;no;yes;study3
153;09.06.21;Pasa;21;f;control;controlfirst;study3first;2;9;yes;yes;study4
154;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;10;yes;no;study3
154;09.06.21;Pasa;21;f;control;controlfirst;study3first;2;10;yes;yes;study4
155;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;11;yes;no;study3
155;09.06.21;Pasa;21;f;control;controlfirst;study3first;2;11;yes;no;study4
156;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;12;yes;no;study3
156;09.06.21;Pasa;21;f;control;controlfirst;study3first;2;12;no;no;study4
157;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;1;no;yes;study3
157;10.06.21;Pasa;21;f;test;controlfirst;study3first;1;1;yes;yes;study4
158;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;2;no;yes;study3
158;10.06.21;Pasa;21;f;test;controlfirst;study3first;1;2;yes;yes;study4
159;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;3;no;yes;study3
159;10.06.21;Pasa;21;f;test;controlfirst;study3first;1;3;no;no;study4
160;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;4;yes;yes;study3
160;10.06.21;Pasa;21;f;test;controlfirst;study3first;1;4;yes;yes;study4
161;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;5;yes;no;study3
161;10.06.21;Pasa;21;f;test;controlfirst;study3first;1;5;yes;yes;study4
162;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;6;no;yes;study3
162;10.06.21;Pasa;21;f;test;controlfirst;study3first;1;6;yes;yes;study4
163;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;7;yes;no;study3
163;11.06.21;Pasa;21;f;test;controlfirst;study3first;2;7;yes;yes;study4
164;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;8;yes;no;study3
164;11.06.21;Pasa;21;f;test;controlfirst;study3first;2;8;yes;yes;study4
165;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;9;no;yes;study3
165;11.06.21;Pasa;21;f;test;controlfirst;study3first;2;9;yes;yes;study4
166;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;10;yes;no;study3
166;11.06.21;Pasa;21;f;test;controlfirst;study3first;2;10;yes;yes;study4
167;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;11;yes;yes;study3
167;11.06.21;Pasa;21;f;test;controlfirst;study3first;2;11;yes;yes;study4
168;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;12;yes;yes;study3
168;11.06.21;Pasa;21;f;test;controlfirst;study3first;2;12;yes;yes;study4
169;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;1;yes;yes;study3
169;16.06.21;Nkuumwa;25;f;control;controlfirst;study4first;1;1;yes;yes;study4
170;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;2;yes;no;study3
170;16.06.21;Nkuumwa;25;f;control;controlfirst;study4first;1;2;yes;no;study4
171;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;3;no;yes;study3
